Collecting idm training data 1000
Collecting idm training data 2000
Collecting idm training data 3000
Collecting idm training data 4000
Collecting idm training data 5000
Collecting idm training data 6000
Collecting idm training data 7000
Collecting idm training data 8000
Collecting idm training data 9000
Collecting idm training data 10000
Collecting idm training data 11000
Collecting idm training data 12000
Collecting idm training data 13000
Collecting idm training data 14000
Collecting idm training data 15000
Collecting idm training data 16000
Collecting idm training data 17000
Collecting idm training data 18000
Collecting idm training data 19000
Collecting idm training data 20000
IDM train: iteration: 500, idm_loss: 0.001798
IDM train: iteration: 1000, idm_loss: 0.004309
IDM train: iteration: 1500, idm_loss: 0.010802
IDM train: iteration: 2000, idm_loss: 0.019983
IDM train: iteration: 2500, idm_loss: 0.011629
IDM train: iteration: 3000, idm_loss: 0.012229
IDM train: iteration: 3500, idm_loss: 0.009305
IDM train: iteration: 4000, idm_loss: 0.015129
IDM train: iteration: 4500, idm_loss: 0.016372
IDM train: iteration: 5000, idm_loss: 0.037409
IDM train: iteration: 5500, idm_loss: 0.036050
IDM train: iteration: 6000, idm_loss: 0.030920
IDM train: iteration: 6500, idm_loss: 0.048984
IDM train: iteration: 7000, idm_loss: 0.041711
SPM train: iteration: 500, spm_loss: 0.008142
SPM train: iteration: 1000, spm_loss: 0.004484
SPM train: iteration: 1500, spm_loss: 0.001889
SPM train: iteration: 2000, spm_loss: 0.003435
SPM train: iteration: 2500, spm_loss: 0.001087
SPM train: iteration: 3000, spm_loss: 0.003251
SPM train: iteration: 3500, spm_loss: 0.004018
SPM train: iteration: 4000, spm_loss: 0.001752
SPM train: iteration: 4500, spm_loss: 0.005665
SPM train: iteration: 5000, spm_loss: 0.001805
SPM train: iteration: 5500, spm_loss: 0.001614
SPM train: iteration: 6000, spm_loss: 0.011428
SPM train: iteration: 6500, spm_loss: 0.000180
SPM train: iteration: 7000, spm_loss: 0.000203
