Collecting idm training data 1000
Collecting idm training data 2000
Collecting idm training data 3000
Collecting idm training data 4000
Collecting idm training data 5000
Collecting idm training data 6000
Collecting idm training data 7000
Collecting idm training data 8000
Collecting idm training data 9000
Collecting idm training data 10000
Collecting idm training data 11000
Collecting idm training data 12000
Collecting idm training data 13000
Collecting idm training data 14000
Collecting idm training data 15000
Collecting idm training data 16000
Collecting idm training data 17000
Collecting idm training data 18000
Collecting idm training data 19000
Collecting idm training data 20000
IDM train: iteration: 500, idm_loss: 0.001751
IDM train: iteration: 1000, idm_loss: 0.008715
IDM train: iteration: 1500, idm_loss: 0.011334
IDM train: iteration: 2000, idm_loss: 0.011644
IDM train: iteration: 2500, idm_loss: 0.013532
IDM train: iteration: 3000, idm_loss: 0.011251
IDM train: iteration: 3500, idm_loss: 0.009261
IDM train: iteration: 4000, idm_loss: 0.014191
IDM train: iteration: 4500, idm_loss: 0.018253
IDM train: iteration: 5000, idm_loss: 0.014067
IDM train: iteration: 5500, idm_loss: 0.011409
IDM train: iteration: 6000, idm_loss: 0.020136
IDM train: iteration: 6500, idm_loss: 0.022638
IDM train: iteration: 7000, idm_loss: 0.029170
SPM train: iteration: 500, spm_loss: 0.089995
SPM2 train: iteration: 500, spm2_loss: 0.080234
SPM train: iteration: 1000, spm_loss: 0.067374
SPM2 train: iteration: 1000, spm2_loss: 0.069942
SPM train: iteration: 1500, spm_loss: 0.051406
SPM2 train: iteration: 1500, spm2_loss: 0.053481
SPM train: iteration: 2000, spm_loss: 0.034345
SPM2 train: iteration: 2000, spm2_loss: 0.040513
SPM train: iteration: 2500, spm_loss: 0.025175
SPM2 train: iteration: 2500, spm2_loss: 0.036403
SPM train: iteration: 3000, spm_loss: 0.022011
SPM2 train: iteration: 3000, spm2_loss: 0.030169
SPM train: iteration: 3500, spm_loss: 0.016990
SPM2 train: iteration: 3500, spm2_loss: 0.023534
SPM train: iteration: 4000, spm_loss: 0.020020
SPM2 train: iteration: 4000, spm2_loss: 0.030737
SPM train: iteration: 4500, spm_loss: 0.017346
SPM2 train: iteration: 4500, spm2_loss: 0.018324
SPM train: iteration: 5000, spm_loss: 0.015647
SPM2 train: iteration: 5000, spm2_loss: 0.017598
SPM train: iteration: 5500, spm_loss: 0.013715
SPM2 train: iteration: 5500, spm2_loss: 0.016823
SPM train: iteration: 6000, spm_loss: 0.021444
SPM2 train: iteration: 6000, spm2_loss: 0.019817
SPM train: iteration: 6500, spm_loss: 0.019609
SPM2 train: iteration: 6500, spm2_loss: 0.014462
SPM train: iteration: 7000, spm_loss: 0.018169
SPM2 train: iteration: 7000, spm2_loss: 0.014587
