Collecting idm training data 1000
Collecting idm training data 2000
Collecting idm training data 3000
Collecting idm training data 4000
Collecting idm training data 5000
Collecting idm training data 6000
Collecting idm training data 7000
Collecting idm training data 8000
Collecting idm training data 9000
Collecting idm training data 10000
Collecting idm training data 11000
Collecting idm training data 12000
Collecting idm training data 13000
Collecting idm training data 14000
Collecting idm training data 15000
Collecting idm training data 16000
Collecting idm training data 17000
Collecting idm training data 18000
Collecting idm training data 19000
Collecting idm training data 20000
IDM train: iteration: 500, idm_loss: 0.002821
IDM train: iteration: 1000, idm_loss: 0.004800
IDM train: iteration: 1500, idm_loss: 0.003073
IDM train: iteration: 2000, idm_loss: 0.015818
IDM train: iteration: 2500, idm_loss: 0.016403
IDM train: iteration: 3000, idm_loss: 0.015965
IDM train: iteration: 3500, idm_loss: 0.016805
IDM train: iteration: 4000, idm_loss: 0.020428
IDM train: iteration: 4500, idm_loss: 0.015668
IDM train: iteration: 5000, idm_loss: 0.027823
IDM train: iteration: 5500, idm_loss: 0.025953
IDM train: iteration: 6000, idm_loss: 0.038120
IDM train: iteration: 6500, idm_loss: 0.037043
IDM train: iteration: 7000, idm_loss: 0.035600
SPM train: iteration: 500, spm_loss: 0.067246
SPM2 train: iteration: 500, spm2_loss: 0.052621
SPM train: iteration: 1000, spm_loss: 0.051557
SPM2 train: iteration: 1000, spm2_loss: 0.044969
SPM train: iteration: 1500, spm_loss: 0.029839
SPM2 train: iteration: 1500, spm2_loss: 0.032269
SPM train: iteration: 2000, spm_loss: 0.025277
SPM2 train: iteration: 2000, spm2_loss: 0.023392
SPM train: iteration: 2500, spm_loss: 0.023894
SPM2 train: iteration: 2500, spm2_loss: 0.024773
SPM train: iteration: 3000, spm_loss: 0.016760
SPM2 train: iteration: 3000, spm2_loss: 0.020051
SPM train: iteration: 3500, spm_loss: 0.014855
SPM2 train: iteration: 3500, spm2_loss: 0.016706
SPM train: iteration: 4000, spm_loss: 0.018708
SPM2 train: iteration: 4000, spm2_loss: 0.019108
SPM train: iteration: 4500, spm_loss: 0.015202
SPM2 train: iteration: 4500, spm2_loss: 0.014800
SPM train: iteration: 5000, spm_loss: 0.012173
SPM2 train: iteration: 5000, spm2_loss: 0.014272
SPM train: iteration: 5500, spm_loss: 0.008642
SPM2 train: iteration: 5500, spm2_loss: 0.009844
SPM train: iteration: 6000, spm_loss: 0.012048
SPM2 train: iteration: 6000, spm2_loss: 0.012954
SPM train: iteration: 6500, spm_loss: 0.013359
SPM2 train: iteration: 6500, spm2_loss: 0.011446
SPM train: iteration: 7000, spm_loss: 0.011521
SPM2 train: iteration: 7000, spm2_loss: 0.011789

iteration: 1, total_reward: -426.49986232619875, policy_loss: 0.245043, idm_loss: 0.053057


iteration: 2, total_reward: -154.29092811291625, policy_loss: 0.236141, idm_loss: 0.086329


iteration: 3, total_reward: -326.86798005899277, policy_loss: 0.452703, idm_loss: 0.044802


iteration: 4, total_reward: -193.16932716515095, policy_loss: 0.389809, idm_loss: 0.120734

