Collecting idm training data 1000
Collecting idm training data 2000
Collecting idm training data 3000
Collecting idm training data 4000
Collecting idm training data 5000
Collecting idm training data 6000
Collecting idm training data 7000
Collecting idm training data 8000
Collecting idm training data 9000
Collecting idm training data 10000
Collecting idm training data 11000
Collecting idm training data 12000
Collecting idm training data 13000
Collecting idm training data 14000
Collecting idm training data 15000
Collecting idm training data 16000
Collecting idm training data 17000
Collecting idm training data 18000
Collecting idm training data 19000
Collecting idm training data 20000
IDM train: iteration: 500, idm_loss: 0.001534
IDM train: iteration: 1000, idm_loss: 0.000600
IDM train: iteration: 1500, idm_loss: 0.017226
IDM train: iteration: 2000, idm_loss: 0.010732
IDM train: iteration: 2500, idm_loss: 0.013874
IDM train: iteration: 3000, idm_loss: 0.007476
IDM train: iteration: 3500, idm_loss: 0.017662
IDM train: iteration: 4000, idm_loss: 0.037873
IDM train: iteration: 4500, idm_loss: 0.017584
IDM train: iteration: 5000, idm_loss: 0.034454
IDM train: iteration: 5500, idm_loss: 0.035423
IDM train: iteration: 6000, idm_loss: 0.039922
IDM train: iteration: 6500, idm_loss: 0.046376
IDM train: iteration: 7000, idm_loss: 0.047876
SPM train: iteration: 500, spm_loss: 0.021505
SPM train: iteration: 1000, spm_loss: 0.014177
SPM train: iteration: 1500, spm_loss: 0.002221
SPM train: iteration: 2000, spm_loss: 0.002461
SPM train: iteration: 2500, spm_loss: 0.000928
SPM train: iteration: 3000, spm_loss: 0.007791
SPM train: iteration: 3500, spm_loss: 0.006202
SPM train: iteration: 4000, spm_loss: 0.000234
SPM train: iteration: 4500, spm_loss: 0.001901
SPM train: iteration: 5000, spm_loss: 0.000205
SPM train: iteration: 5500, spm_loss: 0.005459
SPM train: iteration: 6000, spm_loss: 0.003525
SPM train: iteration: 6500, spm_loss: 0.001004
SPM train: iteration: 7000, spm_loss: 0.000097

iteration: 1, total_reward: -183.44537672206053, policy_loss: 0.158004, idm_loss: 0.139113


iteration: 2, total_reward: -166.90160161852498, policy_loss: 0.205275, idm_loss: 0.021704


iteration: 3, total_reward: -170.96530772218296, policy_loss: 0.251942, idm_loss: 0.019581

