FDM train: iteration: 500, fdm_loss: 0.023274
FDM train: iteration: 1000, fdm_loss: 0.041595
FDM train: iteration: 1500, fdm_loss: 0.031436
FDM train: iteration: 2000, fdm_loss: 0.019833
FDM train: iteration: 2500, fdm_loss: 0.021233
FDM train: iteration: 3000, fdm_loss: 0.032115
FDM train: iteration: 3500, fdm_loss: 0.030740
FDM train: iteration: 4000, fdm_loss: 0.006024
FDM train: iteration: 4500, fdm_loss: 0.001943
FDM train: iteration: 5000, fdm_loss: 0.003320
FDM train: iteration: 5500, fdm_loss: 0.001230
FDM train: iteration: 6000, fdm_loss: 0.001001
FDM train: iteration: 6500, fdm_loss: 0.001909
FDM train: iteration: 7000, fdm_loss: 0.000905
FDM train: iteration: 7500, fdm_loss: 0.000569
FDM train: iteration: 8000, fdm_loss: 0.000265
FDM train: iteration: 8500, fdm_loss: 0.000315
FDM train: iteration: 9000, fdm_loss: 0.000164
FDM train: iteration: 9500, fdm_loss: 0.000221
FDM train: iteration: 10000, fdm_loss: 0.000142
FDM train: iteration: 10500, fdm_loss: 0.000145
FDM train: iteration: 11000, fdm_loss: 0.000168
FDM train: iteration: 11500, fdm_loss: 0.000154
FDM train: iteration: 12000, fdm_loss: 0.000221
FDM train: iteration: 12500, fdm_loss: 0.000173
FDM train: iteration: 13000, fdm_loss: 0.000151
FDM train: iteration: 13500, fdm_loss: 0.000225
FDM train: iteration: 14000, fdm_loss: 0.000209
FDM train: iteration: 14500, fdm_loss: 0.000189
FDM train: iteration: 15000, fdm_loss: 0.000131
FDM train: iteration: 15500, fdm_loss: 0.000157
FDM train: iteration: 16000, fdm_loss: 0.000124
FDM train: iteration: 16500, fdm_loss: 0.000097
FDM train: iteration: 17000, fdm_loss: 0.000169
FDM train: iteration: 17500, fdm_loss: 0.000141
FDM train: iteration: 18000, fdm_loss: 0.000105
FDM train: iteration: 18500, fdm_loss: 0.000162
FDM train: iteration: 19000, fdm_loss: 0.000147
FDM train: iteration: 19500, fdm_loss: 0.000178
FDM train: iteration: 20000, fdm_loss: 0.000166
FDM train: iteration: 20500, fdm_loss: 0.000135
FDM train: iteration: 21000, fdm_loss: 0.000143
FDM train: iteration: 21500, fdm_loss: 0.000096
FDM train: iteration: 22000, fdm_loss: 0.000112
FDM train: iteration: 22500, fdm_loss: 0.000079
FDM train: iteration: 23000, fdm_loss: 0.000059
FDM train: iteration: 23500, fdm_loss: 0.000073
FDM train: iteration: 24000, fdm_loss: 0.000055
FDM train: iteration: 24500, fdm_loss: 0.000045
FDM train: iteration: 25000, fdm_loss: 0.000052
FDM train: iteration: 25500, fdm_loss: 0.000058
FDM train: iteration: 26000, fdm_loss: 0.000037
FDM train: iteration: 26500, fdm_loss: 0.000026
FDM train: iteration: 27000, fdm_loss: 0.000047
FDM train: iteration: 27500, fdm_loss: 0.000017
FDM train: iteration: 28000, fdm_loss: 0.000019
FDM train: iteration: 28500, fdm_loss: 0.000029
FDM train: iteration: 29000, fdm_loss: 0.000046
FDM train: iteration: 29500, fdm_loss: 0.000014
FDM train: iteration: 30000, fdm_loss: 0.000027
FDM train: iteration: 30500, fdm_loss: 0.000026
FDM train: iteration: 31000, fdm_loss: 0.000015
FDM train: iteration: 31500, fdm_loss: 0.000010
FDM train: iteration: 32000, fdm_loss: 0.000030

episode_reward: 128.0
Background Trial: 1, reward: 39.0
Background Trial: 2, reward: 38.0
Background Trial: 3, reward: 34.0
Background Trial: 4, reward: 36.0
Background Trial: 5, reward: 39.0
Background Trial: 6, reward: 40.0
Background Trial: 7, reward: 40.0
Background Trial: 8, reward: 35.0
Background Trial: 9, reward: 36.0
Iteration: 1, average_reward: 37.44444444444444, feedback_rate: 0.5503875968992248


episode_reward:  99.0
Background Trial: 1, reward: 200.0
Background Trial: 2, reward: 200.0
Background Trial: 3, reward: 200.0
Background Trial: 4, reward: 200.0
Background Trial: 5, reward: 200.0
Background Trial: 6, reward: 200.0
Background Trial: 7, reward: 200.0
Background Trial: 8, reward: 200.0
Background Trial: 9, reward: 200.0
Iteration: 2, average_reward: 200.0, feedback_rate: 0.48


episode_reward: 200.0
Background Trial: 1, reward: 200.0
Background Trial: 2, reward: 200.0
Background Trial: 3, reward: 200.0
Background Trial: 4, reward: 200.0
Background Trial: 5, reward: 200.0
Background Trial: 6, reward: 200.0
Background Trial: 7, reward: 200.0
Background Trial: 8, reward: 200.0
Background Trial: 9, reward: 200.0
Iteration: 3, average_reward: 200.0, feedback_rate: 0.004975124378109453


episode_reward: 200.0
Background Trial: 1, reward: 200.0
Background Trial: 2, reward: 200.0
Background Trial: 3, reward: 200.0
Background Trial: 4, reward: 200.0
Background Trial: 5, reward: 200.0
Background Trial: 6, reward: 200.0
Background Trial: 7, reward: 200.0
Background Trial: 8, reward: 200.0
Background Trial: 9, reward: 200.0
Iteration: 4, average_reward: 200.0, feedback_rate: 0.0

