FDM train: iteration: 500, fdm_loss: 0.037968
FDM train: iteration: 1000, fdm_loss: 0.020737
FDM train: iteration: 1500, fdm_loss: 0.029709
FDM train: iteration: 2000, fdm_loss: 0.021809
FDM train: iteration: 2500, fdm_loss: 0.027484
FDM train: iteration: 3000, fdm_loss: 0.031077
FDM train: iteration: 3500, fdm_loss: 0.020509
FDM train: iteration: 4000, fdm_loss: 0.021485
FDM train: iteration: 4500, fdm_loss: 0.015725
FDM train: iteration: 5000, fdm_loss: 0.002168
FDM train: iteration: 5500, fdm_loss: 0.001900
FDM train: iteration: 6000, fdm_loss: 0.002147
FDM train: iteration: 6500, fdm_loss: 0.001562
FDM train: iteration: 7000, fdm_loss: 0.001229
FDM train: iteration: 7500, fdm_loss: 0.001481
FDM train: iteration: 8000, fdm_loss: 0.000773
FDM train: iteration: 8500, fdm_loss: 0.000416
FDM train: iteration: 9000, fdm_loss: 0.000258
FDM train: iteration: 9500, fdm_loss: 0.000285
FDM train: iteration: 10000, fdm_loss: 0.000274
FDM train: iteration: 10500, fdm_loss: 0.000248
FDM train: iteration: 11000, fdm_loss: 0.000240
FDM train: iteration: 11500, fdm_loss: 0.000200
FDM train: iteration: 12000, fdm_loss: 0.000308
FDM train: iteration: 12500, fdm_loss: 0.000181
FDM train: iteration: 13000, fdm_loss: 0.000196
FDM train: iteration: 13500, fdm_loss: 0.000226
FDM train: iteration: 14000, fdm_loss: 0.000270
FDM train: iteration: 14500, fdm_loss: 0.000233
FDM train: iteration: 15000, fdm_loss: 0.000201
FDM train: iteration: 15500, fdm_loss: 0.000198
FDM train: iteration: 16000, fdm_loss: 0.000238
FDM train: iteration: 16500, fdm_loss: 0.000158
FDM train: iteration: 17000, fdm_loss: 0.000157
FDM train: iteration: 17500, fdm_loss: 0.000152
FDM train: iteration: 18000, fdm_loss: 0.000155
FDM train: iteration: 18500, fdm_loss: 0.000158
FDM train: iteration: 19000, fdm_loss: 0.000174
FDM train: iteration: 19500, fdm_loss: 0.000176
FDM train: iteration: 20000, fdm_loss: 0.000122
FDM train: iteration: 20500, fdm_loss: 0.000143
FDM train: iteration: 21000, fdm_loss: 0.000119
FDM train: iteration: 21500, fdm_loss: 0.000110
FDM train: iteration: 22000, fdm_loss: 0.000079
FDM train: iteration: 22500, fdm_loss: 0.000084
FDM train: iteration: 23000, fdm_loss: 0.000050
FDM train: iteration: 23500, fdm_loss: 0.000097
FDM train: iteration: 24000, fdm_loss: 0.000067
FDM train: iteration: 24500, fdm_loss: 0.000098
FDM train: iteration: 25000, fdm_loss: 0.000053
FDM train: iteration: 25500, fdm_loss: 0.000039
FDM train: iteration: 26000, fdm_loss: 0.000064
FDM train: iteration: 26500, fdm_loss: 0.000030
FDM train: iteration: 27000, fdm_loss: 0.000033
FDM train: iteration: 27500, fdm_loss: 0.000019
FDM train: iteration: 28000, fdm_loss: 0.000045
FDM train: iteration: 28500, fdm_loss: 0.000036
FDM train: iteration: 29000, fdm_loss: 0.000025
FDM train: iteration: 29500, fdm_loss: 0.000048
FDM train: iteration: 30000, fdm_loss: 0.000024
FDM train: iteration: 30500, fdm_loss: 0.000030
FDM train: iteration: 31000, fdm_loss: 0.000024
FDM train: iteration: 31500, fdm_loss: 0.000015
FDM train: iteration: 32000, fdm_loss: 0.000056

episode_reward:  18.0
Background Trial: 1, reward: 15.0
Background Trial: 2, reward: 15.0
Background Trial: 3, reward: 15.0
Background Trial: 4, reward: 15.0
Background Trial: 5, reward: 15.0
Background Trial: 6, reward: 15.0
Background Trial: 7, reward: 14.0
Background Trial: 8, reward: 15.0
Background Trial: 9, reward: 14.0
Iteration: 1, average_reward: 14.777777777777779, feedback_rate: 0.42105263157894735


episode_reward:  14.0
Background Trial: 1, reward: 15.0
Background Trial: 2, reward: 15.0
Background Trial: 3, reward: 14.0
Background Trial: 4, reward: 15.0
Background Trial: 5, reward: 14.0
Background Trial: 6, reward: 15.0
Background Trial: 7, reward: 14.0
Background Trial: 8, reward: 15.0
Background Trial: 9, reward: 14.0
Iteration: 2, average_reward: 14.555555555555555, feedback_rate: 0.13333333333333333


episode_reward:  14.0
Background Trial: 1, reward: 14.0
Background Trial: 2, reward: 15.0
Background Trial: 3, reward: 15.0
Background Trial: 4, reward: 15.0
Background Trial: 5, reward: 15.0
Background Trial: 6, reward: 15.0
Background Trial: 7, reward: 15.0
Background Trial: 8, reward: 15.0
Background Trial: 9, reward: 14.0
Iteration: 3, average_reward: 14.777777777777779, feedback_rate: 0.2


episode_reward:  52.0
Background Trial: 1, reward: 37.0
Background Trial: 2, reward: 33.0
Background Trial: 3, reward: 36.0
Background Trial: 4, reward: 33.0
Background Trial: 5, reward: 32.0
Background Trial: 6, reward: 37.0
Background Trial: 7, reward: 34.0
Background Trial: 8, reward: 35.0
Background Trial: 9, reward: 33.0
Iteration: 4, average_reward: 34.44444444444444, feedback_rate: 0.7169811320754716


episode_reward:  22.0
Background Trial: 1, reward: 61.0
Background Trial: 2, reward: 60.0
Background Trial: 3, reward: 61.0
Background Trial: 4, reward: 64.0
Background Trial: 5, reward: 65.0
Background Trial: 6, reward: 63.0
Background Trial: 7, reward: 64.0
Background Trial: 8, reward: 63.0
Background Trial: 9, reward: 56.0
Iteration: 5, average_reward: 61.888888888888886, feedback_rate: 0.7391304347826086


episode_reward: 136.0
Background Trial: 1, reward: 138.0
Background Trial: 2, reward: 130.0
Background Trial: 3, reward: 144.0
Background Trial: 4, reward: 149.0
Background Trial: 5, reward: 132.0
Background Trial: 6, reward: 135.0
Background Trial: 7, reward: 136.0
Background Trial: 8, reward: 136.0
Background Trial: 9, reward: 154.0
Iteration: 6, average_reward: 139.33333333333334, feedback_rate: 0.656934306569343


episode_reward: 152.0
Background Trial: 1, reward: 200.0
Background Trial: 2, reward: 200.0
Background Trial: 3, reward: 200.0
Background Trial: 4, reward: 200.0
Background Trial: 5, reward: 200.0
Background Trial: 6, reward: 147.0
Background Trial: 7, reward: 200.0
Background Trial: 8, reward: 200.0
Background Trial: 9, reward: 200.0
