Collecting idm training data 1000
Collecting idm training data 2000
Collecting idm training data 3000
Collecting idm training data 4000
Collecting idm training data 5000
Collecting idm training data 6000
Collecting idm training data 7000
Collecting idm training data 8000
Collecting idm training data 9000
Collecting idm training data 10000
Collecting idm training data 11000
Collecting idm training data 12000
IDM train: iteration: 500, idm_loss: 0.463848
IDM train: iteration: 1000, idm_loss: 0.451467
IDM train: iteration: 1500, idm_loss: 0.258938
IDM train: iteration: 2000, idm_loss: 0.254110
IDM train: iteration: 2500, idm_loss: 0.343077
IDM train: iteration: 3000, idm_loss: 0.495932
IDM train: iteration: 3500, idm_loss: 0.332228
IDM train: iteration: 4000, idm_loss: 0.243671
SPM train: iteration: 500, spm_loss: 0.000707
SPM train: iteration: 1000, spm_loss: 0.000007
SPM train: iteration: 1500, spm_loss: 0.000000
SPM train: iteration: 2000, spm_loss: 0.000000
SPM train: iteration: 2500, spm_loss: 0.000000
SPM train: iteration: 3000, spm_loss: 0.000000
SPM train: iteration: 3500, spm_loss: 0.000000
SPM train: iteration: 4000, spm_loss: 0.000000
